Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3260812240770507856235093668,0.326081224077051,0.326081224077051,0.326081224077051,0.326081224077051,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,739658.2
0.02,0,0.3434763229035075545486330418,0.343476322903508,0.343476322903508,0.343476322903508,0.343476322903508,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,1479316
0.03,0,0.3405736729806879139964195682,0.340573672980688,0.340573672980688,0.340573672980688,0.340573672980688,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,2218974
0.04,0,0.3352494626128285158944193728,0.335249462612829,0.335249462612829,0.335249462612829,0.335249462612829,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,2958633
0.05,0,0.3299352035590693288596948567,0.329935203559069,0.329935203559069,0.329935203559069,0.329935203559069,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,3698291
0.06,0,0.3250752228961682085932694476,0.325075222896168,0.325075222896168,0.325075222896168,0.325075222896168,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,4437949
0.07,0,0.3207147798511777518363466080,0.320714779851178,0.320714779851178,0.320714779851178,0.320714779851178,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,5177608
0.08,0,0.3168085672871229224782848833,0.316808567287123,0.316808567287123,0.316808567287123,0.316808567287123,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,5917266
0.09,0,0.3132955215021706142765095811,0.313295521502171,0.313295521502171,0.313295521502171,0.313295521502171,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,6656924
0.10,0,0.3101184718828361882931758301,0.310118471882836,0.310118471882836,0.310118471882836,0.310118471882836,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,7396582
0.11,0,0.3072284608600953440249575799,0.307228460860095,0.307228460860095,0.307228460860095,0.307228460860095,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,8136240
0.12,0,0.3045847517499058723569917399,0.304584751749906,0.304584751749906,0.304584751749906,0.304584751749906,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,8875898
0.13,0,0.3021537018648286164421675814,0.302153701864829,0.302153701864829,0.302153701864829,0.302153701864829,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,9615556
0.14,0,0.2999074930805265132502442034,0.299907493080526,0.299907493080526,0.299907493080526,0.299907493080526,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,10355220
0.15,0,0.2978230799123410146263731549,0.297823079912341,0.297823079912341,0.297823079912341,0.297823079912341,0,0,0,0,4.55914686307565,76.107384704400296722161572875,76.107384704400296722161572875,11094870
