% Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Mach number (?)
0,0,0,41.993,0,0.0197
2e-3,8.3985e-5,0.083985,189.92,5.8728e-6,0.019705
4e-3,6.3181e-4,0.46384,319.37,4.418e-5,0.019733
6e-3,0.0021983,1.1026,337.89,1.5372e-4,0.019794
8e-3,0.0050794,1.7785,337.93,3.5519e-4,0.019875
0.01,0.0093123,2.4544,337.97,6.5118e-4,0.019975
0.012,0.014897,3.1304,338.01,0.0010417,0.020092
0.014,0.021834,3.8065,338.05,0.0015268,0.020227
0.016,0.030123,4.4827,338.1,0.0021064,0.02038
0.018,0.039765,5.159,338.14,0.0027806,0.020549
0.02,0.050759,5.8353,338.18,0.0035494,0.020734
0.022,0.063106,6.5118,338.22,0.0044128,0.020936
0.024,0.076807,7.1883,338.26,0.0053708,0.021153
0.026,0.09186,7.8649,338.3,0.0064235,0.021385
0.028,0.10827,8.5416,338.35,0.0075707,0.021632
0.03,0.12603,9.2183,338.39,0.0088126,0.021893
0.032,0.14514,9.8952,338.43,0.010149,0.022167
0.034,0.16561,10.572,338.47,0.01158,0.022455
0.036,0.18743,11.249,338.51,0.013106,0.022755
0.038,0.2106,11.926,338.55,0.014727,0.023068
0.04,0.23513,12.603,338.59,0.016442,0.023392
0.042,0.26102,13.281,338.63,0.018252,0.023727
0.044,0.28826,13.958,338.68,0.020157,0.024073
0.046,0.31685,14.635,338.72,0.022156,0.024429
0.048,0.3468,15.313,338.76,0.02425,0.024795
0.05,0.3781,15.991,338.8,0.026439,0.025171
0.052,0.41076,16.668,338.84,0.028723,0.025555
0.054,0.44477,17.346,338.88,0.031102,0.025948
0.056,0.48014,18.024,338.92,0.033575,0.02635
0.058,0.51687,18.702,338.96,0.036143,0.026759
0.06,0.55495,19.38,339,0.038806,0.027176
0.062,0.59439,20.058,339.04,0.041564,0.0276
0.064,0.63518,20.736,339.08,0.044416,0.02803
0.066,0.67733,21.414,339.12,0.047364,0.028468
0.068,0.72084,22.093,339.16,0.050406,0.028911
0.07,0.7657,22.771,339.2,0.053543,0.029361
0.072,0.81192,23.449,339.24,0.056775,0.029816
0.074,0.8595,24.128,339.28,0.060102,0.030277
0.076,0.90843,24.807,339.32,0.063524,0.030743
0.078,0.95873,25.485,339.36,0.067041,0.031214
0.08,1.0104,26.164,339.41,0.070652,0.031689
0.082,1.0634,26.843,339.45,0.074359,0.03217
0.084,1.1177,27.522,339.49,0.078161,0.032654
0.086,1.1735,28.201,339.53,0.082057,0.033143
0.088,1.2306,28.88,339.57,0.086049,0.033636
0.09,1.289,29.559,339.61,0.090135,0.034133
0.092,1.3488,30.239,339.65,0.094317,0.034633
0.094,1.4099,30.918,339.69,0.098593,0.035137
0.096,1.4725,31.597,339.72,0.10296,0.035644
0.098,1.5363,32.277,339.76,0.10743,0.036155
0.1,1.6016,32.957,339.8,0.11199,0.036668
0.102,1.6682,33.636,339.84,0.11665,0.037185
0.104,1.7361,34.316,339.88,0.1214,0.037704
0.106,1.8054,34.996,339.92,0.12625,0.038226
0.108,1.8761,35.676,339.96,0.13119,0.038751
0.11,1.9481,36.356,340,0.13623,0.039278
0.112,2.0215,37.036,340.04,0.14136,0.039808
0.114,2.0963,37.716,340.08,0.14659,0.04034
0.116,2.1724,38.396,340.12,0.15191,0.040874
0.118,2.2499,39.077,340.16,0.15733,0.041411
0.12,2.3287,39.757,340.2,0.16284,0.04195
0.122,2.4089,40.437,340.24,0.16845,0.04249
0.124,2.4904,41.118,340.28,0.17415,0.043033
0.126,2.5734,41.799,340.32,0.17995,0.043577
0.128,2.6576,42.479,340.36,0.18584,0.044123
0.13,2.7433,43.16,340.4,0.19183,0.044671
0.132,2.8303,43.841,340.44,0.19791,0.045221
0.134,2.9186,44.522,340.48,0.20409,0.045772
0.136,3.0084,45.203,340.51,0.21037,0.046325
0.138,3.0995,45.884,340.55,0.21673,0.04688
0.14,3.1919,46.565,340.59,0.2232,0.047436
0.142,3.2857,47.247,340.63,0.22976,0.047993
0.144,3.3809,47.928,340.67,0.23641,0.048551
0.146,3.4774,48.609,340.71,0.24317,0.049111
0.148,3.5753,49.291,340.75,0.25001,0.049673
0.15,3.6746,49.972,340.79,0.25695,0.050235
0.152,3.7752,50.654,340.83,0.26399,0.050799
0.154,3.8772,51.336,340.87,0.27112,0.051364
0.156,3.9806,52.018,340.91,0.27835,0.05193
0.158,4.0853,52.699,340.95,0.28567,0.052497
0.16,4.1914,53.381,340.98,0.29309,0.053065
0.162,4.2988,54.063,341.02,0.3006,0.053634
0.164,4.4076,54.746,341.06,0.30821,0.054204
0.166,4.5178,55.428,341.1,0.31591,0.054776
0.168,4.6293,56.11,341.14,0.32371,0.055348
0.17,4.7422,56.792,341.18,0.33161,0.055921
0.172,4.8565,57.475,341.22,0.3396,0.056495
0.174,4.9721,58.157,341.26,0.34768,0.057069
0.176,5.0891,58.84,341.29,0.35587,0.057645
